INFO 2024-11-28 17:39:00,531 consumers WebSocket connection closed: admin
INFO 2024-11-28 17:39:00,833 consumers New WebSocket connection: admin
INFO 2024-11-28 17:39:00,838 consumers WebSocket connection closed: admin
INFO 2024-11-28 17:39:00,862 consumers New WebSocket connection: admin
INFO 2024-11-28 17:41:14,802 consumers New WebSocket connection: 
INFO 2024-11-28 17:41:14,804 consumers WebSocket connection closed: 
INFO 2024-11-28 17:41:14,809 consumers New WebSocket connection: 
INFO 2024-11-28 17:41:14,814 consumers WebSocket connection closed: 
INFO 2024-11-28 17:41:27,262 consumers New WebSocket connection: 
INFO 2024-11-28 17:41:27,264 consumers WebSocket connection closed: 
INFO 2024-11-28 17:41:37,245 views AttendanceRecord does not exist
INFO 2024-11-28 17:41:37,266 views AttendanceRecord does not exist
INFO 2024-11-28 17:41:37,499 consumers New WebSocket connection: 
INFO 2024-11-28 17:41:37,501 consumers WebSocket connection closed: 
INFO 2024-11-28 17:42:13,755 models Late employee: 1002.0
INFO 2024-11-28 17:42:31,621 consumers New WebSocket connection: 
INFO 2024-11-28 17:42:31,623 consumers WebSocket connection closed: 
INFO 2024-11-28 17:43:04,137 consumers WebSocket connection closed: admin
INFO 2024-11-28 17:43:04,417 consumers New WebSocket connection: admin
INFO 2024-11-28 17:43:04,426 consumers WebSocket connection closed: admin
INFO 2024-11-28 17:43:04,452 consumers New WebSocket connection: admin
INFO 2024-11-28 17:46:39,777 consumers New WebSocket connection: admin
INFO 2024-11-28 17:46:45,547 consumers WebSocket connection closed: admin
INFO 2024-11-28 17:46:45,784 consumers New WebSocket connection: admin
INFO 2024-11-28 17:47:03,542 consumers WebSocket connection closed: admin
INFO 2024-11-28 17:47:03,668 views AttendanceRecord does not exist
INFO 2024-11-28 17:47:03,682 consumers New WebSocket connection: admin
INFO 2024-11-28 17:47:03,684 consumers New WebSocket connection: admin
INFO 2024-11-28 17:47:03,687 consumers WebSocket connection closed: admin
INFO 2024-11-28 17:47:03,689 views AttendanceRecord does not exist
INFO 2024-11-28 17:47:05,214 models Late employee: 1007.0
ERROR 2024-11-28 17:51:47,279 views Weekends are not included in the days off.
INFO 2024-11-28 17:51:56,608 consumers New WebSocket connection: admin
INFO 2024-11-28 17:51:56,610 consumers New WebSocket connection: admin
INFO 2024-11-28 17:51:56,612 consumers WebSocket connection closed: admin
INFO 2024-11-28 17:52:04,613 consumers WebSocket connection closed: admin
INFO 2024-11-28 17:52:04,693 consumers New WebSocket connection: admin
INFO 2024-11-28 17:52:04,696 consumers WebSocket connection closed: admin
INFO 2024-11-28 17:52:04,717 consumers New WebSocket connection: admin
ERROR 2024-11-28 17:52:11,000 views Employee has no remaining leave days
INFO 2024-11-28 17:53:15,039 consumers New WebSocket connection: admin
INFO 2024-11-28 17:53:15,042 consumers WebSocket connection closed: admin
INFO 2024-11-28 17:53:15,066 consumers New WebSocket connection: admin
INFO 2024-11-28 17:53:18,280 consumers New WebSocket connection: admin
INFO 2024-11-28 17:53:18,281 consumers WebSocket connection closed: admin
INFO 2024-11-28 17:53:18,304 consumers New WebSocket connection: admin
INFO 2024-11-28 17:53:21,556 consumers New WebSocket connection: admin
INFO 2024-11-28 17:53:21,558 consumers New WebSocket connection: admin
INFO 2024-11-28 17:53:21,560 consumers WebSocket connection closed: admin
INFO 2024-11-28 17:53:33,097 consumers WebSocket connection closed: admin
INFO 2024-11-28 17:53:33,191 consumers New WebSocket connection: admin
INFO 2024-11-28 17:53:33,193 consumers WebSocket connection closed: admin
INFO 2024-11-28 17:53:33,211 consumers New WebSocket connection: admin
INFO 2024-11-28 17:55:40,486 consumers WebSocket connection closed: admin
INFO 2024-11-28 17:55:40,600 consumers New WebSocket connection: admin
INFO 2024-11-28 17:56:39,551 consumers WebSocket connection closed: admin
INFO 2024-11-28 17:57:16,436 consumers WebSocket connection closed: admin
INFO 2024-11-28 17:57:16,746 consumers New WebSocket connection: admin
INFO 2024-11-28 17:57:16,749 consumers New WebSocket connection: admin
INFO 2024-11-28 17:57:16,751 consumers WebSocket connection closed: admin
